; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:43:48 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 100.768 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.0200005,1,0,0,0
0.02001482,1,0,0,1
0.02005178,0,0,0,1
0.0200518,0,1,0,1
0.02005186,1,1,0,1
0.02006428,1,0,0,1
0.02006612,0,0,0,1
0.0200662,1,0,0,1
0.02008046,0,0,0,1
0.02008054,1,0,0,1
0.02009478,0,0,0,1
0.02009486,1,0,0,1
0.02010912,0,0,0,1
0.0201092,1,0,0,1
0.02012344,0,0,0,1
0.02012354,1,0,0,1
0.02013778,0,0,0,1
0.02013786,1,0,0,1
0.02015212,0,0,0,1
0.0201522,1,0,0,1
0.02016644,0,0,0,1
0.02016654,1,0,0,1
0.02018078,0,0,0,1
0.02018086,1,0,0,1
0.02019512,0,0,0,1
0.0201952,1,0,0,1
0.02020944,0,0,0,1
0.02020954,1,0,0,1
0.02022378,0,0,0,1
0.02022386,1,0,0,1
0.02023812,0,0,0,1
0.0202382,1,0,0,1
0.02025244,0,0,0,1
0.02025254,1,0,0,1
0.02026678,0,0,0,1
0.02026686,1,0,0,1
0.02028112,0,1,0,1
0.0202812,1,1,0,1
0.02029362,1,0,0,1
0.02029544,0,0,0,1
0.02029554,1,0,0,1
0.02030978,0,0,0,1
0.02030986,1,0,0,1
0.02032412,0,0,1,1
0.0203242,1,0,1,1
0.02033662,1,0,0,1
0.02033844,0,0,0,1
0.02033854,1,0,0,1
0.02035278,0,0,1,1
0.02035286,1,0,1,1
0.02036528,1,0,0,1
0.02036712,0,0,0,1
0.0203672,1,0,0,1
0.02038144,0,0,0,1
0.02038154,1,0,0,1
0.02039578,0,0,0,1
0.02039586,1,0,0,1
0.02041012,0,0,0,1
0.0204102,1,0,0,1
0.02042444,0,0,0,1
0.02042452,1,0,0,1
0.02043878,0,0,1,1
0.02043886,1,0,1,1
0.02045128,1,0,0,1
0.02045312,0,0,1,1
0.0204532,1,0,1,1
0.02046562,1,0,0,1
0.02046744,0,0,1,1
0.02046752,1,0,1,1
0.02047994,1,0,0,1
0.02048178,0,0,1,1
0.02048186,1,0,1,1
0.02049428,1,0,0,1
0.0204961,0,0,0,1
0.0204962,1,0,0,1
0.02051044,0,0,0,1
0.02051052,1,0,0,1
0.02052478,0,0,0,1
0.02052486,1,0,0,1
0.0205391,0,0,0,1
0.0205392,1,0,0,1
0.02055344,0,0,1,1
0.02055352,1,0,1,1
0.02056594,1,0,0,1
0.02056778,0,0,1,1
0.02056786,1,0,1,1
0.02058028,1,0,0,1
0.0205821,0,0,0,1
0.0205822,1,0,0,1
0.02059644,0,0,0,1
0.02059652,1,0,0,1
0.02061078,0,0,0,1
0.02061086,1,0,0,1
0.0206251,0,0,0,1
0.0206252,1,0,0,1
0.02063944,0,0,1,1
0.02063952,1,0,1,1
0.02065194,1,0,0,1
0.02065378,0,0,0,1
0.02065386,1,0,0,1
0.0206681,0,0,0,1
0.02066812,0,0,1,1
0.0206682,1,0,1,1
0.0206806,1,0,0,1
0.02068244,0,0,1,1
0.02068252,1,0,1,1
0.02069494,1,0,0,1
0.02069678,0,0,0,1
0.02069686,1,0,0,1
0.0207111,0,0,0,1
0.02071112,0,0,1,1
0.0207112,1,0,1,1
0.0207236,1,0,0,1
0.02072544,0,0,0,1
0.02072552,1,0,0,1
0.02073978,0,0,0,1
0.02073986,1,0,0,1
