; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:40:32 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 100.768 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.02,1,0,0,0
0.02001434,1,0,0,1
0.02005128,0,0,0,1
0.0200513,0,1,0,1
0.02005138,1,1,0,1
0.0200638,1,0,0,1
0.02006562,0,0,0,1
0.0200657,1,0,0,1
0.02007996,0,0,0,1
0.02008004,1,0,0,1
0.02009428,0,0,0,1
0.02009438,1,0,0,1
0.02010862,0,0,0,1
0.0201087,1,0,0,1
0.02012296,0,0,0,1
0.02012304,1,0,0,1
0.02013728,0,0,0,1
0.02013738,1,0,0,1
0.02015162,0,0,0,1
0.0201517,1,0,0,1
0.02016596,0,0,0,1
0.02016604,1,0,0,1
0.02018028,0,0,0,1
0.02018038,1,0,0,1
0.02019462,0,0,0,1
0.0201947,1,0,0,1
0.02020896,0,0,0,1
0.02020904,1,0,0,1
0.02022328,0,0,0,1
0.02022338,1,0,0,1
0.02023762,0,0,0,1
0.0202377,1,0,0,1
0.02025196,0,0,0,1
0.02025204,1,0,0,1
0.02026628,0,0,0,1
0.02026638,1,0,0,1
0.02028062,0,1,0,1
0.0202807,1,1,0,1
0.02029312,1,0,0,1
0.02029496,0,0,1,1
0.02029504,1,0,1,1
0.02030746,1,0,0,1
0.02030928,0,0,0,1
0.02030938,1,0,0,1
0.02032362,0,0,0,1
0.0203237,1,0,0,1
0.02033796,0,0,0,1
0.02033804,1,0,0,1
0.02035228,0,0,0,1
0.02035236,1,0,0,1
0.02036662,0,0,0,1
0.0203667,1,0,0,1
0.02038096,0,0,0,1
0.02038104,1,0,0,1
0.02039528,0,0,0,1
0.02039536,1,0,0,1
0.02040962,0,0,1,1
0.0204097,1,0,1,1
0.02042212,1,0,0,1
0.02042394,0,0,0,1
0.02042404,1,0,0,1
0.02043828,0,0,0,1
0.02043836,1,0,0,1
0.02045262,0,0,1,1
0.0204527,1,0,1,1
0.02046512,1,0,0,1
0.02046694,0,0,0,1
0.02046704,1,0,0,1
0.02048128,0,0,0,1
0.02048136,1,0,0,1
0.02049562,0,0,1,1
0.0204957,1,0,1,1
0.02050812,1,0,0,1
0.02050994,0,0,0,1
0.02051004,1,0,0,1
0.02052428,0,0,1,1
0.02052436,1,0,1,1
0.02053678,1,0,0,1
0.02053862,0,0,0,1
0.0205387,1,0,0,1
0.02055294,0,0,0,1
0.02055304,1,0,0,1
0.02056728,0,0,1,1
0.02056736,1,0,1,1
0.02057978,1,0,0,1
0.02058162,0,0,0,1
0.0205817,1,0,0,1
0.02059594,0,0,0,1
0.02059596,0,0,1,1
0.02059604,1,0,1,1
0.02060844,1,0,0,1
0.02061028,0,0,0,1
0.02061036,1,0,0,1
0.02062462,0,0,0,1
0.0206247,1,0,0,1
0.02063894,0,0,0,1
0.02063904,1,0,0,1
0.02065328,0,0,0,1
0.02065336,1,0,0,1
0.02066762,0,0,0,1
0.0206677,1,0,0,1
0.02068194,0,0,0,1
0.02068204,1,0,0,1
0.02069628,0,0,0,1
0.02069636,1,0,0,1
0.02071062,0,0,0,1
0.0207107,1,0,0,1
0.02072494,0,0,1,1
0.02072502,1,0,1,1
0.02073744,1,0,0,1
0.02073928,0,0,0,1
0.02073936,1,0,0,1
0.02075362,0,0,1,1
0.0207537,1,0,1,1
0.02076612,1,0,0,1
0.02076794,0,0,0,1
0.02076802,1,0,0,1
0.02078228,0,0,0,1
0.02078236,1,0,0,1
0.0207966,0,0,0,1
0.0207967,1,0,0,1
0.02081094,0,0,0,1
