; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:45:08 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 50.896 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.00999958,1,0,0,0
0.0100139,1,0,0,1
0.01005086,0,1,0,1
0.01005094,1,1,0,1
0.01006336,1,0,0,1
0.0100652,0,0,0,1
0.01006528,1,0,0,1
0.01007952,0,0,0,1
0.01007962,1,0,0,1
0.01009386,0,0,0,1
0.01009394,1,0,0,1
0.0101082,0,0,0,1
0.01010828,1,0,0,1
0.01012252,0,0,0,1
0.01012262,1,0,0,1
0.01013686,0,0,0,1
0.01013694,1,0,0,1
0.0101512,0,0,0,1
0.01015128,1,0,0,1
0.01016552,0,0,0,1
0.01016562,1,0,0,1
0.01017986,0,0,0,1
0.01017994,1,0,0,1
0.0101942,0,0,0,1
0.01019428,1,0,0,1
0.01020852,0,0,0,1
0.01020862,1,0,0,1
0.01022286,0,0,0,1
0.01022294,1,0,0,1
0.0102372,0,0,0,1
0.01023728,1,0,0,1
0.01025152,0,0,0,1
0.01025162,1,0,0,1
0.01026586,0,0,0,1
0.01026594,1,0,0,1
0.0102802,0,0,0,1
0.01028028,1,0,0,1
0.01029452,0,0,0,1
0.01029462,1,0,0,1
0.01030886,0,0,0,1
0.01030894,1,0,0,1
0.0103232,0,0,0,1
0.01032328,1,0,0,1
0.01033752,0,0,0,1
0.01033762,1,0,0,1
0.01035186,0,0,0,1
0.01035194,1,0,0,1
0.0103662,0,0,0,1
0.01036628,1,0,0,1
0.01038052,0,0,0,1
0.0103806,1,0,0,1
0.01039486,0,0,0,1
0.01039494,1,0,0,1
0.01040918,0,0,0,1
0.01040928,1,0,0,1
0.01042352,0,0,0,1
0.0104236,1,0,0,1
0.01043786,0,0,0,1
0.01043794,1,0,0,1
0.01045218,0,0,0,1
0.01045228,1,0,0,1
0.01046652,0,0,0,1
0.0104666,1,0,0,1
0.01048086,0,0,0,1
0.01048094,1,0,0,1
0.01049518,0,0,0,1
0.01049528,1,0,0,1
0.01050952,0,0,0,1
0.0105096,1,0,0,1
0.01052386,0,0,0,1
0.01052394,1,0,0,1
0.01053818,0,0,0,1
0.01053828,1,0,0,1
0.01055252,0,0,0,1
0.0105526,1,0,0,1
0.01056686,0,0,0,1
0.01056694,1,0,0,1
0.01058118,0,0,0,1
