; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:48:28 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 50.896 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.00999938,1,0,0,0
0.0100137,1,0,0,1
0.01005066,0,0,0,1
0.01005076,1,0,0,1
0.010065,0,0,0,1
0.01006508,1,0,0,1
0.01007934,0,0,0,1
0.01007942,1,0,0,1
0.01009366,0,0,0,1
0.01009374,1,0,0,1
0.010108,0,0,0,1
0.01010808,1,0,0,1
0.01012232,0,0,0,1
0.01012242,1,0,0,1
0.01013666,0,0,0,1
0.01013674,1,0,0,1
0.010151,0,0,0,1
0.01015108,1,0,0,1
0.01016532,0,0,0,1
0.01016542,1,0,0,1
0.01017966,0,0,0,1
0.01017974,1,0,0,1
0.010194,0,0,0,1
0.01019408,1,0,0,1
0.01020832,0,0,0,1
0.01020842,1,0,0,1
0.01022266,0,0,0,1
0.01022274,1,0,0,1
0.010237,0,0,0,1
0.01023708,1,0,0,1
0.01025132,0,0,0,1
0.01025142,1,0,0,1
0.01026566,0,0,0,1
0.01026574,1,0,0,1
0.01028,0,0,0,1
0.01028008,1,0,0,1
0.01029432,0,0,0,1
0.01029442,1,0,0,1
0.01030866,0,0,0,1
0.01030874,1,0,0,1
0.010323,0,0,1,1
0.01032308,1,0,1,1
0.0103355,1,0,0,1
0.01033732,0,0,0,1
0.01033742,1,0,0,1
0.01035166,0,0,0,1
0.01035174,1,0,0,1
0.010366,0,0,1,1
0.01036608,1,0,1,1
0.0103785,1,0,0,1
0.01038032,0,0,0,1
0.01038042,1,0,0,1
0.01039466,0,0,0,1
0.01039474,1,0,0,1
0.010409,0,0,0,1
0.01040908,1,0,0,1
0.01042332,0,0,0,1
0.01042342,1,0,0,1
0.01043766,0,0,0,1
0.01043774,1,0,0,1
0.010452,0,0,0,1
0.01045208,1,0,0,1
0.01046632,0,0,0,1
0.0104664,1,0,0,1
0.01048066,0,0,0,1
0.01048074,1,0,0,1
0.01049498,0,0,0,1
0.010495,0,0,1,1
0.01049508,1,0,1,1
0.0105075,1,0,0,1
0.01050932,0,0,0,1
0.0105094,1,0,0,1
0.01052366,0,0,0,1
0.01052374,1,0,0,1
0.01053798,0,0,0,1
0.01053808,1,0,0,1
0.01055232,0,0,0,1
0.0105524,1,0,0,1
0.01056666,0,0,0,1
0.01056674,1,0,0,1
0.01058098,0,0,0,1
0.01058108,1,0,0,1
0.01059532,0,0,1,1
0.0105954,1,0,1,1
0.01060782,1,0,0,1
0.01060966,0,0,0,1
0.01060974,1,0,0,1
0.01062398,0,0,0,1
0.01062408,1,0,0,1
0.01063832,0,0,0,1
0.0106384,1,0,0,1
0.01065266,0,0,0,1
0.01065274,1,0,0,1
0.01066698,0,0,0,1
0.010667,0,0,1,1
0.01066708,1,0,1,1
0.01067948,1,0,0,1
0.01068132,0,0,0,1
