; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:47:55 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 50.896 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.0100003,1,0,0,0
0.01001464,1,0,0,1
0.0100516,0,1,0,1
0.01005168,1,1,0,1
0.0100641,1,0,0,1
0.01006592,0,0,0,1
0.010066,1,0,0,1
0.01008026,0,0,0,1
0.01008034,1,0,0,1
0.01009458,0,0,0,1
0.01009468,1,0,0,1
0.01010892,0,0,1,1
0.010109,1,0,1,1
0.01012142,1,0,0,1
0.01012326,0,0,1,1
0.01012334,1,0,1,1
0.01013576,1,0,0,1
0.01013758,0,0,0,1
0.01013768,1,0,0,1
0.01015192,0,0,0,1
0.010152,1,0,0,1
0.01016626,0,0,0,1
0.01016634,1,0,0,1
0.01018058,0,0,0,1
0.01018068,1,0,0,1
0.01019492,0,0,0,1
0.010195,1,0,0,1
0.01020926,0,0,0,1
0.01020934,1,0,0,1
0.01022358,0,0,0,1
0.01022368,1,0,0,1
0.01023792,0,0,0,1
0.010238,1,0,0,1
0.01025226,0,0,1,1
0.01025234,1,0,1,1
0.01026476,1,0,0,1
0.01026658,0,0,0,1
0.01026668,1,0,0,1
0.01028092,0,0,0,1
0.010281,1,0,0,1
0.01029526,0,0,0,1
0.01029534,1,0,0,1
0.01030958,0,0,0,1
0.0103096,0,0,1,1
0.01030968,1,0,1,1
0.01032208,1,0,0,1
0.01032392,0,0,0,1
0.010324,1,0,0,1
0.01033826,0,0,1,1
0.01033834,1,0,1,1
0.01035076,1,0,0,1
0.01035258,0,0,0,1
0.0103526,0,0,1,1
0.01035268,1,0,1,1
0.01036508,1,0,0,1
0.01036692,0,0,0,1
0.010367,1,0,0,1
0.01038126,0,0,0,1
0.01038134,1,0,0,1
0.01039558,0,0,0,1
0.01039568,1,0,0,1
0.01040992,0,0,0,1
0.01041,1,0,0,1
0.01042426,0,0,0,1
0.01042434,1,0,0,1
0.01043858,0,0,0,1
0.01043866,1,0,0,1
0.01045292,0,0,0,1
0.010453,1,0,0,1
0.01046724,0,0,0,1
0.01046734,1,0,0,1
0.01048158,0,0,1,1
0.01048166,1,0,1,1
0.01049408,1,0,0,1
0.01049592,0,0,0,1
0.010496,1,0,0,1
0.01051024,0,0,0,1
0.01051026,0,0,1,1
0.01051034,1,0,1,1
0.01052274,1,0,0,1
0.01052458,0,0,0,1
0.01052466,1,0,0,1
0.01053892,0,0,1,1
0.010539,1,0,1,1
0.01055142,1,0,0,1
0.01055324,0,0,0,1
0.01055334,1,0,0,1
0.01056758,0,0,1,1
0.01056766,1,0,1,1
0.01058008,1,0,0,1
0.01058192,0,0,0,1
0.010582,1,0,0,1
0.01059624,0,0,0,1
0.01059634,1,0,0,1
0.01061058,0,0,0,1
0.01061066,1,0,0,1
0.01062492,0,0,0,1
0.010625,1,0,0,1
0.01063924,0,0,0,1
0.01063934,1,0,0,1
0.01065358,0,0,0,1
0.01065366,1,0,0,1
0.01066792,0,0,0,1
0.010668,1,0,0,1
0.01068224,0,0,0,1
0.01068234,1,0,0,1
0.01069658,0,0,0,1
0.01069666,1,0,0,1
0.01071092,0,0,0,1
0.010711,1,0,0,1
0.01072524,0,0,0,1
0.01072534,1,0,0,1
0.01073958,0,0,1,1
0.01073966,1,0,1,1
0.01075208,1,0,0,1
0.01075392,0,0,0,1
0.010754,1,0,0,1
0.01076824,0,0,1,1
0.01076834,1,0,1,1
0.01078074,1,0,0,1
0.01078258,0,0,0,1
0.01078266,1,0,0,1
0.01079692,0,0,0,1
0.010797,1,0,0,1
0.01081124,0,0,1,1
0.01081132,1,0,1,1
0.01082374,1,0,0,1
0.01082558,0,0,0,1
0.01082566,1,0,0,1
0.01083992,0,0,0,1
0.01084,1,0,0,1
0.01085424,0,0,0,1
0.01085432,1,0,0,1
0.01086858,0,0,0,1
0.01086866,1,0,0,1
0.0108829,0,0,0,1
0.010883,1,0,0,1
0.01089724,0,0,0,1
0.01089732,1,0,0,1
0.01091158,0,0,0,1
0.01091166,1,0,0,1
0.0109259,0,0,0,1
0.010926,1,0,0,1
0.01094024,0,0,1,1
0.01094032,1,0,1,1
0.01095274,1,0,0,1
0.01095458,0,0,0,1
0.01095466,1,0,0,1
0.0109689,0,0,0,1
0.010969,1,0,0,1
0.01098324,0,0,1,1
0.01098332,1,0,1,1
0.01099574,1,0,0,1
0.01099758,0,0,0,1
0.01099766,1,0,0,1
0.0110119,0,0,0,1
0.011012,1,0,0,1
0.01102624,0,0,0,1
0.01102632,1,0,0,1
0.01104058,0,0,1,1
0.01104066,1,0,1,1
0.01105308,1,0,0,1
0.0110549,0,0,0,1
0.011055,1,0,0,1
0.01106924,0,0,0,1
0.01106932,1,0,0,1
0.01108358,0,0,0,1
0.01108366,1,0,0,1
0.0110979,0,0,0,1
0.011098,1,0,0,1
0.01111224,0,0,0,1
0.01111232,1,0,0,1
0.01112658,0,0,1,1
0.01112666,1,0,1,1
0.01113908,1,0,0,1
0.0111409,0,0,0,1
0.01114098,1,0,0,1
0.01115524,0,0,1,1
0.01115532,1,0,1,1
0.01116774,1,0,0,1
0.01116958,0,0,0,1
0.01116966,1,0,0,1
0.0111839,0,0,1,1
0.01118398,1,0,1,1
0.0111964,1,0,0,1
0.01119824,0,0,0,1
0.01119832,1,0,0,1
0.01121256,0,0,0,1
0.01121258,0,0,1,1
0.01121266,1,0,1,1
0.01122508,1,0,0,1
0.0112269,0,0,0,1
0.01122698,1,0,0,1
0.01124124,0,0,0,1
0.01124132,1,0,0,1
0.01125556,0,0,0,1
0.01125566,1,0,0,1
0.0112699,0,0,1,1
0.01126998,1,0,1,1
0.0112824,1,0,0,1
0.01128424,0,0,0,1
0.01128432,1,0,0,1
0.01129856,0,0,0,1
0.01129866,1,0,0,1
0.0113129,0,0,0,1
0.01131298,1,0,0,1
0.01132724,0,0,0,1
0.01132732,1,0,0,1
0.01134156,0,0,0,1
0.01134166,1,0,0,1
0.0113559,0,0,1,1
0.01135598,1,0,1,1
0.0113684,1,0,0,1
0.01137024,0,0,0,1
0.01137032,1,0,0,1
0.01138456,0,0,0,1
0.01138458,0,0,1,1
0.01138466,1,0,1,1
0.01139706,1,0,0,1
0.0113989,0,0,0,1
0.01139898,1,0,0,1
0.01141324,0,0,1,1
0.01141332,1,0,1,1
0.01142574,1,0,0,1
0.01142756,0,0,0,1
0.01142766,1,0,0,1
0.0114419,0,0,1,1
0.01144198,1,0,1,1
0.0114544,1,0,0,1
0.01145624,0,0,0,1
0.01145632,1,0,0,1
0.01147056,0,0,0,1
0.01147066,1,0,0,1
