; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:45:56 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 50.896 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.00999988,1,0,0,0
0.0100142,1,0,0,1
0.01005116,0,1,0,1
0.01005124,1,1,0,1
0.01006366,1,0,0,1
0.0100655,0,0,0,1
0.01006558,1,0,0,1
0.01007982,0,0,0,1
0.01007992,1,0,0,1
0.01009416,0,0,0,1
0.01009424,1,0,0,1
0.0101085,0,0,0,1
0.01010858,1,0,0,1
0.01012282,0,0,0,1
0.01012292,1,0,0,1
0.01013716,0,0,0,1
0.01013724,1,0,0,1
0.0101515,0,0,0,1
0.01015158,1,0,0,1
0.01016582,0,0,0,1
0.01016592,1,0,0,1
0.01018016,0,0,0,1
0.01018024,1,0,0,1
0.0101945,0,0,0,1
0.01019458,1,0,0,1
0.01020882,0,0,0,1
0.01020892,1,0,0,1
0.01022316,0,0,0,1
0.01022324,1,0,0,1
0.0102375,0,0,0,1
0.01023758,1,0,0,1
0.01025182,0,0,0,1
0.01025192,1,0,0,1
0.01026616,0,0,0,1
0.01026624,1,0,0,1
0.0102805,0,0,0,1
0.01028058,1,0,0,1
0.01029482,0,0,0,1
0.01029492,1,0,0,1
0.01030916,0,0,0,1
0.01030924,1,0,0,1
0.0103235,0,0,0,1
0.01032358,1,0,0,1
0.01033782,0,0,0,1
0.01033792,1,0,0,1
0.01035216,0,0,0,1
0.01035224,1,0,0,1
0.0103665,0,0,1,1
0.01036658,1,0,1,1
0.010379,1,0,0,1
0.01038082,0,0,1,1
0.0103809,1,0,1,1
0.01039332,1,0,0,1
0.01039516,0,0,0,1
0.01039524,1,0,0,1
0.01040948,0,0,0,1
0.01040958,1,0,0,1
0.01042382,0,0,0,1
0.0104239,1,0,0,1
0.01043816,0,0,1,1
0.01043824,1,0,1,1
0.01045066,1,0,0,1
0.01045248,0,0,0,1
0.0104525,0,0,1,1
0.01045258,1,0,1,1
0.01046498,1,0,0,1
0.01046682,0,0,0,1
0.0104669,1,0,0,1
0.01048116,0,0,0,1
0.01048124,1,0,0,1
0.01049548,0,0,0,1
0.01049558,1,0,0,1
0.01050982,0,0,0,1
0.0105099,1,0,0,1
0.01052416,0,0,0,1
0.01052424,1,0,0,1
0.01053848,0,0,0,1
0.01053858,1,0,0,1
0.01055282,0,0,0,1
0.0105529,1,0,0,1
0.01056716,0,0,0,1
0.01056724,1,0,0,1
0.01058148,0,0,0,1
0.01058158,1,0,0,1
0.01059582,0,0,1,1
0.0105959,1,0,1,1
0.01060832,1,0,0,1
0.01061016,0,0,1,1
0.01061024,1,0,1,1
0.01062266,1,0,0,1
0.01062448,0,0,0,1
0.01062458,1,0,0,1
0.01063882,0,0,0,1
0.0106389,1,0,0,1
0.01065316,0,0,0,1
0.01065324,1,0,0,1
0.01066748,0,0,0,1
0.0106675,0,0,1,1
0.01066758,1,0,1,1
0.01067998,1,0,0,1
0.01068182,0,0,1,1
0.0106819,1,0,1,1
0.01069432,1,0,0,1
0.01069616,0,0,0,1
0.01069624,1,0,0,1
0.01071048,0,0,0,1
0.01071058,1,0,0,1
0.01072482,0,0,0,1
0.0107249,1,0,0,1
0.01073916,0,0,0,1
0.01073924,1,0,0,1
0.01075348,0,0,0,1
0.01075356,1,0,0,1
0.01076782,0,0,0,1
0.0107679,1,0,0,1
0.01078216,0,0,0,1
0.01078224,1,0,0,1
0.01079648,0,0,0,1
0.01079656,1,0,0,1
0.01081082,0,0,0,1
0.0108109,1,0,0,1
0.01082514,0,0,0,1
0.01082524,1,0,0,1
0.01083948,0,0,0,1
0.01083956,1,0,0,1
0.01085382,0,0,0,1
0.0108539,1,0,0,1
0.01086814,0,0,0,1
0.01086824,1,0,0,1
0.01088248,0,0,0,1
0.01088256,1,0,0,1
0.01089682,0,0,1,1
0.0108969,1,0,1,1
0.01090932,1,0,0,1
0.01091114,0,0,0,1
0.01091116,0,0,1,1
0.01091124,1,0,1,1
0.01092364,1,0,0,1
0.01092548,0,0,0,1
0.01092556,1,0,0,1
0.01093982,0,0,0,1
0.0109399,1,0,0,1
0.01095414,0,0,0,1
0.01095424,1,0,0,1
0.01096848,0,0,0,1
0.01096856,1,0,0,1
0.01098282,0,0,0,1
0.0109829,1,0,0,1
0.01099714,0,0,0,1
0.01099724,1,0,0,1
0.01101148,0,0,0,1
0.01101156,1,0,0,1
0.01102582,0,0,0,1
0.0110259,1,0,0,1
0.01104014,0,0,0,1
0.01104024,1,0,0,1
0.01105448,0,0,0,1
0.01105456,1,0,0,1
0.01106882,0,0,1,1
0.0110689,1,0,1,1
0.01108132,1,0,0,1
0.01108314,0,0,0,1
0.01108324,1,0,0,1
0.01109748,0,0,0,1
0.01109756,1,0,0,1
0.01111182,0,0,0,1
0.0111119,1,0,0,1
0.01112614,0,0,1,1
0.01112622,1,0,1,1
0.01113864,1,0,0,1
0.01114048,0,0,1,1
0.01114056,1,0,1,1
0.01115298,1,0,0,1
0.01115482,0,0,0,1
0.0111549,1,0,0,1
0.01116914,0,0,0,1
0.01116922,1,0,0,1
0.01118348,0,0,0,1
0.01118356,1,0,0,1
0.0111978,0,0,0,1
0.0111979,1,0,0,1
0.01121214,0,0,0,1
0.01121222,1,0,0,1
0.01122648,0,0,0,1
0.01122656,1,0,0,1
0.0112408,0,0,0,1
0.0112409,1,0,0,1
0.01125514,0,0,0,1
0.01125522,1,0,0,1
0.01126948,0,0,0,1
0.01126956,1,0,0,1
0.0112838,0,0,0,1
0.0112839,1,0,0,1
0.01129814,0,0,1,1
0.01129822,1,0,1,1
0.01131064,1,0,0,1
0.01131248,0,0,0,1
0.01131256,1,0,0,1
0.0113268,0,0,0,1
0.0113269,1,0,0,1
0.01134114,0,0,0,1
0.01134122,1,0,0,1
0.01135548,0,0,1,1
0.01135556,1,0,1,1
0.01136798,1,0,0,1
0.0113698,0,0,0,1
0.01136982,0,0,1,1
0.0113699,1,0,1,1
0.0113823,1,0,0,1
0.01138414,0,0,0,1
0.01138422,1,0,0,1
0.01139848,0,0,0,1
0.01139856,1,0,0,1
0.0114128,0,0,0,1
0.0114129,1,0,0,1
0.01142714,0,0,0,1
0.01142722,1,0,0,1
0.01144148,0,0,0,1
0.01144156,1,0,0,1
0.0114558,0,0,0,1
0.01145588,1,0,0,1
0.01147014,0,0,0,1
0.01147022,1,0,0,1
0.01148448,0,0,0,1
0.01148456,1,0,0,1
0.0114988,0,0,0,1
0.01149888,1,0,0,1
0.01151314,0,0,0,1
0.01151322,1,0,0,1
0.01152748,0,0,1,1
0.01152756,1,0,1,1
0.01153998,1,0,0,1
0.0115418,0,0,0,1
0.01154188,1,0,0,1
0.01155614,0,0,0,1
0.01155622,1,0,0,1
0.01157046,0,0,0,1
0.01157056,1,0,0,1
0.0115848,0,0,1,1
0.01158488,1,0,1,1
0.0115973,1,0,0,1
0.01159914,0,0,1,1
0.01159922,1,0,1,1
0.01161164,1,0,0,1
0.01161346,0,0,0,1
0.01161356,1,0,0,1
0.0116278,0,0,0,1
0.01162788,1,0,0,1
0.01164214,0,0,0,1
0.01164222,1,0,0,1
0.01165646,0,0,0,1
0.01165648,0,1,0,1
0.01165656,1,1,0,1
0.01166896,1,0,0,1
0.0116708,0,0,0,1
0.01167088,1,0,0,1
0.01168514,0,0,0,1
0.01168522,1,0,0,1
0.01169946,0,0,0,1
0.01169956,1,0,0,1
0.0117138,0,0,0,1
0.01171388,1,0,0,1
0.01172814,0,0,0,1
0.01172822,1,0,0,1
0.01174246,0,0,0,1
0.01174256,1,0,0,1
0.0117568,0,0,0,1
0.01175688,1,0,0,1
0.01177114,0,0,0,1
0.01177122,1,0,0,1
0.01178546,0,0,0,1
0.01178556,1,0,0,1
0.0117998,0,0,1,1
0.01179988,1,0,1,1
0.0118123,1,0,0,1
0.01181414,0,0,0,1
0.01181422,1,0,0,1
0.01182846,0,0,0,1
0.01182854,1,0,0,1
0.0118428,0,0,0,1
0.01184288,1,0,0,1
0.01185714,0,0,1,1
0.01185722,1,0,1,1
0.01186964,1,0,0,1
0.01187146,0,0,1,1
0.01187154,1,0,1,1
0.01188396,1,0,0,1
0.0118858,0,1,0,1
0.01188588,1,1,0,1
0.0118983,1,0,0,1
0.01190012,0,0,0,1
0.01190022,1,0,0,1
0.01191446,0,0,0,1
0.01191454,1,0,0,1
0.0119288,0,0,0,1
0.01192888,1,0,0,1
0.01194312,0,0,0,1
0.01194322,1,0,0,1
0.01195746,0,0,0,1
0.01195754,1,0,0,1
0.0119718,0,0,0,1
0.01197188,1,0,0,1
0.01198612,0,0,0,1
0.01198622,1,0,0,1
0.01200046,0,0,0,1
0.01200054,1,0,0,1
0.0120148,0,0,0,1
0.01201488,1,0,0,1
0.01202912,0,0,0,1
0.01202914,0,0,1,1
0.01202922,1,0,1,1
0.01204162,1,0,0,1
0.01204346,0,0,0,1
0.01204354,1,0,0,1
0.0120578,0,0,0,1
0.01205788,1,0,0,1
0.01207212,0,0,0,1
0.01207214,0,0,1,1
0.01207222,1,0,1,1
0.01208462,1,0,0,1
0.01208646,0,0,1,1
0.01208654,1,0,1,1
0.01209896,1,0,0,1
0.0121008,0,0,1,1
0.01210088,1,0,1,1
0.0121133,1,0,0,1
0.01211512,0,0,0,1
0.01211514,0,1,0,1
0.01211522,1,1,0,1
0.01212762,1,0,0,1
0.01212946,0,0,0,1
0.01212954,1,0,0,1
0.0121438,0,0,0,1
0.01214388,1,0,0,1
0.01215812,0,0,0,1
0.01215822,1,0,0,1
0.01217246,0,0,0,1
0.01217254,1,0,0,1
0.0121868,0,0,0,1
0.01218688,1,0,0,1
0.01220112,0,0,0,1
0.0122012,1,0,0,1
0.01221546,0,0,0,1
0.01221554,1,0,0,1
0.0122298,0,0,0,1
0.01222988,1,0,0,1
0.01224412,0,0,0,1
0.0122442,1,0,0,1
0.01225846,0,0,0,1
0.01225854,1,0,0,1
0.01227278,0,0,0,1
0.01227288,1,0,0,1
0.01228712,0,0,0,1
0.0122872,1,0,0,1
