; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 22:32:10 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 100.768 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.02000078,1,0,0,0
0.02001512,1,0,0,1
0.02005208,0,1,0,1
0.02005216,1,1,0,1
0.02006458,1,0,0,1
0.0200664,0,0,0,1
0.02006648,1,0,0,1
0.02008074,0,0,0,1
0.02008082,1,0,0,1
0.02009508,0,0,0,1
0.02009516,1,0,0,1
0.0201094,0,0,0,1
0.02010948,1,0,0,1
0.02012374,0,0,0,1
0.02012382,1,0,0,1
0.02013806,0,0,0,1
0.02013816,1,0,0,1
0.0201524,0,0,0,1
0.02015248,1,0,0,1
0.02016674,0,0,0,1
0.02016682,1,0,0,1
0.02018106,0,0,0,1
0.02018116,1,0,0,1
0.0201954,0,0,0,1
0.02019548,1,0,0,1
0.02020974,0,0,0,1
0.02020982,1,0,0,1
0.02022406,0,0,0,1
0.02022416,1,0,0,1
0.0202384,0,0,0,1
0.02023848,1,0,0,1
0.02025274,0,0,0,1
0.02025282,1,0,0,1
0.02026706,0,0,0,1
0.02026716,1,0,0,1
0.0202814,0,0,1,1
0.02028148,1,0,1,1
0.0202939,1,0,0,1
0.02029574,0,0,0,1
0.02029582,1,0,0,1
0.02031006,0,0,0,1
0.02031016,1,0,0,1
0.0203244,0,0,0,1
0.02032448,1,0,0,1
0.02033874,0,0,0,1
0.02033882,1,0,0,1
0.02035306,0,0,0,1
0.02035316,1,0,0,1
0.0203674,0,0,0,1
0.02036748,1,0,0,1
0.02038174,0,0,0,1
0.02038182,1,0,0,1
0.02039606,0,0,0,1
0.02039616,1,0,0,1
0.0204104,0,0,0,1
0.02041048,1,0,0,1
0.02042474,0,0,0,1
0.02042482,1,0,0,1
0.02043906,0,0,0,1
0.02043916,1,0,0,1
0.0204534,0,0,0,1
0.02045348,1,0,0,1
0.02046774,0,0,0,1
0.02046782,1,0,0,1
0.02048206,0,0,0,1
0.02048214,1,0,0,1
0.0204964,0,0,0,1
0.02049648,1,0,0,1
0.02051072,0,0,0,1
0.02051074,0,0,1,1
0.02051082,1,0,1,1
0.02052324,1,0,0,1
0.02052506,0,0,0,1
0.02052514,1,0,0,1
0.0205394,0,0,0,1
0.02053948,1,0,0,1
0.02055372,0,0,0,1
0.02055382,1,0,0,1
0.02056806,0,0,0,1
0.02056814,1,0,0,1
0.0205824,0,0,0,1
0.02058248,1,0,0,1
0.02059672,0,0,0,1
0.02059682,1,0,0,1
0.02061106,0,0,0,1
0.02061114,1,0,0,1
0.0206254,0,0,0,1
0.02062548,1,0,0,1
0.02063972,0,0,0,1
0.02063982,1,0,0,1
0.02065406,0,0,0,1
0.02065414,1,0,0,1
0.0206684,0,0,0,1
0.02066848,1,0,0,1
0.02068272,0,0,0,1
0.02068282,1,0,0,1
0.02069706,0,0,0,1
0.02069714,1,0,0,1
0.0207114,0,0,0,1
0.02071148,1,0,0,1
0.02072572,0,0,0,1
0.02072582,1,0,0,1
0.02074006,0,1,0,1
0.02074014,1,1,0,1
0.02075256,1,0,0,1
0.0207544,0,0,0,1
0.02075448,1,0,0,1
0.02076872,0,0,0,1
0.02076882,1,0,0,1
0.02078306,0,0,0,1
0.02078314,1,0,0,1
0.0207974,0,0,0,1
0.02079748,1,0,0,1
0.02081172,0,0,0,1
0.0208118,1,0,0,1
0.02082606,0,0,0,1
0.02082614,1,0,0,1
0.0208404,0,0,0,1
0.02084048,1,0,0,1
0.02085472,0,0,0,1
0.0208548,1,0,0,1
0.02086906,0,0,0,1
0.02086914,1,0,0,1
0.02088338,0,0,0,1
0.02088348,1,0,0,1
0.02089772,0,0,0,1
0.0208978,1,0,0,1
0.02091206,0,0,0,1
0.02091214,1,0,0,1
0.02092638,0,0,0,1
0.02092648,1,0,0,1
0.02094072,0,0,0,1
0.0209408,1,0,0,1
0.02095506,0,0,0,1
0.02095514,1,0,0,1
0.02096938,0,0,0,1
0.0209694,0,1,0,1
0.02096948,1,1,0,1
0.02098188,1,0,0,1
0.02098372,0,0,0,1
0.0209838,1,0,0,1
0.02099806,0,0,0,1
0.02099814,1,0,0,1
0.02101238,0,0,0,1
0.02101248,1,0,0,1
0.02102672,0,0,0,1
0.0210268,1,0,0,1
0.02104106,0,0,0,1
0.02104114,1,0,0,1
0.02105538,0,0,0,1
0.02105548,1,0,0,1
0.02106972,0,0,0,1
0.0210698,1,0,0,1
0.02108406,0,0,0,1
0.02108414,1,0,0,1
0.02109838,0,0,0,1
