; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jul 26 21:39:28 2023
; Channels (4/16)
; Sample rate: 50 MHz
; Sample count: 93.41664 M Samples
Time(s), XSTL, D0, D1, SPV
0,1,0,0,1
0.69611668,1,0,0,0
0.69612356,1,0,0,1
0.6961413,0,1,0,1
0.69614134,1,1,0,1
0.6961473,1,0,0,1
0.69614818,0,0,1,1
0.69614822,1,0,1,1
0.69615418,1,0,0,1
0.69615506,0,0,1,1
0.6961551,1,0,1,1
0.69616106,1,0,0,1
0.69616194,0,1,0,1
0.69616198,1,1,0,1
0.69616794,1,0,0,1
0.69616882,0,1,0,1
0.69616886,1,1,0,1
0.69617482,1,0,0,1
0.6961757,0,1,0,1
0.69617574,1,1,0,1
0.6961817,1,0,0,1
0.69618258,0,1,0,1
0.69618262,1,1,0,1
0.69618858,1,0,0,1
0.69618946,0,1,0,1
0.6961895,1,1,0,1
0.69619546,1,0,0,1
0.69619634,0,1,0,1
0.69619638,1,1,0,1
0.69620234,1,0,0,1
0.69620322,0,0,0,1
0.69620326,1,0,0,1
0.6962101,0,0,0,1
0.69621014,1,0,0,1
0.69621698,0,0,0,1
0.69621702,1,0,0,1
0.69622386,0,0,0,1
0.6962239,1,0,0,1
0.69623074,0,0,0,1
0.69623078,1,0,0,1
0.69623762,0,0,0,1
0.69623766,1,0,0,1
0.6962445,0,0,0,1
0.69624454,1,0,0,1
0.69625138,0,0,0,1
0.69625142,1,0,0,1
0.69625826,0,0,0,1
0.6962583,1,0,0,1
0.69626514,0,0,0,1
0.69626518,1,0,0,1
0.69627202,0,0,0,1
0.69627206,1,0,0,1
0.6962789,0,0,0,1
0.69627894,1,0,0,1
0.69628578,0,0,0,1
0.69628582,1,0,0,1
0.69629266,0,0,0,1
0.6962927,1,0,0,1
0.69629954,0,0,0,1
0.69629958,1,0,0,1
0.69630642,0,0,0,1
0.69630646,1,0,0,1
0.6963133,0,0,0,1
0.69631334,1,0,0,1
0.69632018,0,0,0,1
0.69632022,1,0,0,1
0.69632706,0,0,0,1
0.6963271,1,0,0,1
0.69633394,0,0,0,1
0.69633398,1,0,0,1
0.69634082,0,0,0,1
0.69634086,1,0,0,1
0.6963477,0,0,0,1
0.69634774,1,0,0,1
0.69635458,0,0,1,1
0.69635462,1,0,1,1
0.69636058,1,0,0,1
0.69636146,0,0,0,1
0.6963615,1,0,0,1
0.69636834,0,0,0,1
0.69636838,1,0,0,1
0.69637522,0,0,0,1
0.69637526,1,0,0,1
0.6963821,0,0,0,1
0.69638214,1,0,0,1
0.69638898,0,0,0,1
0.69638902,1,0,0,1
0.69639586,0,0,0,1
0.6963959,1,0,0,1
0.69640274,0,0,0,1
0.69640278,1,0,0,1
0.69640962,0,0,0,1
0.69640966,1,0,0,1
0.6964165,0,0,0,1
0.69641654,1,0,0,1
0.69642338,0,0,0,1
0.69642342,1,0,0,1
0.69643026,0,0,0,1
0.6964303,1,0,0,1
0.69643714,0,0,0,1
0.69643718,1,0,0,1
0.69644402,0,0,0,1
0.69644406,1,0,0,1
0.6964509,0,0,0,1
0.69645094,1,0,0,1
0.69645778,0,0,0,1
0.69645782,1,0,0,1
0.69646466,0,0,1,1
0.6964647,1,0,1,1
0.69647066,1,0,0,1
0.69647154,0,0,0,1
0.69647158,1,0,0,1
0.69647842,0,0,0,1
0.69647846,1,0,0,1
0.6964853,0,0,0,1
0.69648534,1,0,0,1
0.69649218,0,0,0,1
0.69649222,1,0,0,1
0.69649906,0,0,0,1
0.6964991,1,0,0,1
0.69650594,0,0,0,1
0.69650598,1,0,0,1
0.69651282,0,0,0,1
0.69651286,1,0,0,1
0.6965197,0,0,0,1
0.69651974,1,0,0,1
0.69652658,0,0,0,1
0.69652662,1,0,0,1
0.69653346,0,0,0,1
